"Date","DOY","Interval","VPD","LCON1","LCOS1","LCIN1","LCIS1","LCOS2","LCON2","LCON3","LCON4","LCOS4","LCON5","LCON6","LCOS6","LCON7","LCON8","LCOS8","LCON9","HOON10","HOOS10","HOIN10","HOIS10","HOON11","HOOS11","HOON12","HOOS12","HOON13","HOON14","HOOS14","HOON15","HOOS16","HOON16","HOOS17","HOON17"
2017-06-01,152,"24hr",74.981027,NA,2583.96653495375,1427.59129549246,947.435533201923,NA,3128.85594712474,1764.54152250067,1976.88124545345,2900.44338725183,1323.19415039057,1991.045453859,2540.61151489946,2909.69054115125,762.686624532902,3917.58026624911,1567.8369633566,2775.81913125527,4050.34460380024,1212.24761224046,826.041293814071,1135.37582216225,1511.47927628742,1555.73767165745,1467.57434384829,2329.85629773658,1870.53368666143,2809.22349169369,2488.22454231591,2346.04589241639,2224.11954021649,3295.24941090518,1436.99925919765
2017-06-02,153,"24hr",91.6940487,NA,2749.57696494876,1550.23879388171,914.72912218855,NA,3536.72201331066,1868.7327296846,2301.63919676584,3219.20331811219,1527.60674092672,2321.81267005542,2908.49411636574,3242.3851098794,904.185061265835,4544.2019378097,1857.31758669288,3109.30478974382,4762.9960600898,1370.82332623509,977.98650217148,1317.44437767173,1634.27965955918,1735.44085848536,1604.80581203177,2563.47173782366,2094.12073517497,3016.30767777822,2940.37528619287,2650.05152651229,2435.40637236569,3658.38809940035,1528.70689695158
2017-06-03,154,"24hr",94.087924,NA,3398.23096907062,2016.58007408746,1212.76297052414,NA,4321.51290572385,2286.50831588018,2495.83128054522,3377.41802066916,1614.74778806055,2406.3084644798,3080.36548300338,3657.41641627528,914.185680820087,4643.04616283749,2028.60857897,3251.97002624809,5484.63601706668,1503.44965289809,1125.79967220349,1381.81933045426,1698.39622871478,1729.30149989711,1573.50924786704,2806.88568151623,2187.395110618,3285.54448092029,3528.35314055593,2777.30746254003,2594.24502425806,3965.04948059693,1559.09114132861
2017-06-04,155,"24hr",45.978394,NA,2722.99818606252,1680.33646806498,1134.71210612278,NA,3248.7099965553,2029.18139575082,1679.83238995458,2343.81061585692,1170.67320244263,1695.86715429645,2184.67807075559,2486.30834503969,646.157539861526,3268.92150433198,1350.11725318634,2450.46633722231,3634.51578121402,1065.12229884204,767.876508535721,1013.04101425222,1249.17102991211,1344.8046378808,1297.47722940895,2040.32797144648,1555.02626221658,2245.22369150618,1832.55110186945,1971.78651505704,1855.42636015993,2738.98309568291,1127.28017279136
2017-06-05,156,"24hr",9.191109,NA,496.932242942169,249.952402521891,191.878138546474,NA,594.613460315058,402.497482214754,387.868226479995,666.938665815266,354.468314385033,435.364415556601,586.908893567439,462.470512152719,169.118743135758,1171.95524638434,308.858315070444,727.534297927785,694.419254902239,266.375450572514,178.275460644846,327.890154552548,385.46869782671,595.720165470452,567.507429790037,458.50022423054,503.992385851948,521.703267626012,862.184498809674,599.198919857631,548.330309988598,720.413645153388,408.572146452404
2017-06-06,157,"24hr",85.80676,NA,2331.29234621884,1160.31072418497,761.427779992506,NA,2811.48877293069,1576.26063290219,1901.01499000939,2864.59740374907,1297.07691830661,1956.47658871725,2504.69858310789,2582.22986491678,790.991305778803,4004.1545216002,1522.04781581127,2616.4367387352,3609.17989607816,1101.79810651159,826.230007529961,1158.49817025279,1378.39556710686,1636.2913183394,1439.55196868517,1969.35305498554,1956.33555552545,2464.42941650653,1481.91706544443,2240.22630585975,2167.51850390491,3011.4681027843,1488.4958430196
2017-06-07,158,"24hr",70.79616,NA,2310.32951543571,1237.81985771176,899.967630097016,NA,2860.66233747427,1789.47197431653,1756.70718961625,2716.27814754407,1251.93207261377,1926.71918285419,2473.38600401168,2274.7965807553,777.918442007616,4201.41700906171,1364.60448576588,2644.58218133819,3452.22962203048,1068.05245900549,799.622243062417,1148.18473266989,1417.0584551999,1780.55350626907,1611.73902647415,1994.67004448333,1786.35913238946,2339.13925070246,1552.14725982618,2210.30748000031,2094.39586790737,3002.73460289025,1432.78209945604
2017-06-08,159,"24hr",47.517702,NA,2348.87046724978,1431.46569520316,1149.74262879202,NA,3043.63798515766,1913.26226143331,1278.86750599116,2053.51870450261,942.024705650998,1442.14366715633,1921.98556317667,1620.66650033021,553.360533826849,3565.74360424007,1075.28298950911,2017.10714936067,2928.34047471279,866.778035705745,658.507861847742,943.915431843706,1153.86680789279,1417.2155030886,1310.84338074266,1518.16626513227,1320.72147667534,1817.74924391085,1517.56738298456,1819.82648950348,1626.59083028721,2462.91847725402,1148.17175369571
2017-06-09,160,"24hr",69.37009,NA,2379.18980209254,1201.53750549425,696.259872746424,NA,3070.12850583157,1555.84572164858,1876.84833261978,2782.54958979558,1256.33179944471,1976.94904103759,2543.050098502,2613.77070582017,713.526845994828,3935.6716371274,1558.12762327127,2801.96946035772,4295.19838748167,1073.91328198487,824.317190957331,1149.77548472681,1398.02084995136,1550.8080735813,1388.5094916682,2236.96462120446,1810.12800631805,2558.7162047373,2321.53164945156,2330.23949986761,2142.8755718269,3273.60747348979,1346.44673030927
2017-06-10,161,"24hr",81.957761,881.176683536001,3117.26651485219,1701.71525134917,927.748813106145,4076.46784907788,3762.48818724424,1906.11987631595,2548.93886128199,3370.69859704375,1645.15194007266,2476.60163733818,3170.314779224,3379.52060077475,996.952568695891,4449.63203832463,2068.95560602233,3327.53887191865,5128.85794102418,1400.97253159201,1054.0724549969,1364.89089843003,1673.92607623457,1704.09339053992,1548.72850176201,2858.60229714889,2189.62555459784,3067.73781889869,3244.49990180639,2749.50366988491,2572.9931616582,3758.28279809038,1379.64605077719
